72	111
29	139
70	112
50	162
2	47
50	196
13	46
18	156
84	126
36	162
66	105
85	209
98	119
30	166
96	120
94	202
26	52
63	169
40	67
0	113
74	107
75	180
53	75
89	200
12	61
78	213
8	50
63	166
80	124
21	154
42	85
29	173
90	120
65	211
82	103
37	166
74	96
79	189
90	132
95	240
13	35
61	210
35	62
8	134
56	93
32	161
3	33
84	232
15	61
19	128
41	89
40	143
60	85
95	244
94	126
15	117
85	114
53	170
16	45
52	185
25	48
37	149
73	116
56	176
23	67
5	106
55	97
50	158
66	102
37	145
27	49
58	165
41	69
74	210
80	114
80	222
34	69
93	207
59	83
32	173
61	97
75	180
36	59
49	154
80	110
68	198
93	123
39	147
54	80
83	206
3	48
60	197
2	28
69	170
81	107
58	183
22	58
55	191
32	66
78	192
