100	156	190	100	10.6
82	164	140	85	6.7
62	160	160	90	7
77.5	159	160	85	10
135	183	130	80	10
93	175	145	90	7.3
86	158	140	80	7.8
85	164	120	80	7.1
108	180	130	80	8.3
85.8	155	160	80	10.4
66	156	120	70	8.7
90.5	168	180	100	10.3
84	172	130	80	7.3
120	184	150	100	108
82	169	130	80	8
117	168	170	100	10
76.5	152	165	90	8.2
68	160	160	90	9.8
92	153	170	100	7.3
90	163	120	80	10.5
90	161	120	80	7.6
85	160	180	100	11
95	170	130	90	6.7
80	163	150	100	12.3
72	166	125	70	
70	165	150	90	11
105	164	145	85	6.5
108	164	145	85	6.2
118	178	150	90	8
137.7	177	160	100	10
107	184	150	90	6.6
79	168	160	100	9.7
81	163	140	90	8.3
82	155	120	80	11.2
88	171	160	110	6.3
90.5	162	160	100	10.6
102.5	176	120	80	8.3
91	168	140	90	8
86	170	180	100	7.6
103.5	164	160	100	8.1
75	153	160	90	10.6
88	165	180	90	7.4
117	183	170	100	7.6
80	152	160	100	7.6
112	184	130	80	7.2
64.5	158	180	100	6.2
130	188	120	70	9
86	158	160	100	10.2
92	174	145	90	8.8
92	158	130	80	9.3
80	170	130	85	8
116	171	110	70	6.2
95	164	155	90	11
82	164	120	80	6.9
125	190	160	100	8
76	180	140	90	9.9
92	158	160	80	10.9
103	160	145	95	11
84	178	140	80	9
90	168	165	100	6.7
86	172	175	100	9.4
67	164	130	80	8.3
100	168	160	100	7.5
82	187	140	80	10.8
90	160	140	90	8.5
68	160	130	80	5.8
110	165	160	100	6.7
148	170	130	80	10.9
100	176	150	95	9.3
78	158	120	80	7.1
80	156	120	60	7
127.5	158	150	100	11.9
91	164	150	90	11
100	169	140	90	6.5
116	184	120	80	9.3
78	170	120	80	6.8
79	171	140	90	7.1
65	154	150	90	6
83	158	152	90	7
84	164	130	80	9.7
86	178	140	80	7.6
83.5	158	120	80	11.6
78	153	120	80	6.9
90	172	140	80	10.4
105	170	145	90	10
110	170	120	80	12.6
87	164	150	90	9.1
95.5	160	160	100	8.2
73	164	130	80	7.2
92.5	170	160	100	7
85	180	160	100	8.1
74	155	130	80	7.2
75	167	140	100	6.9
88.5	174	130	80	7.2
130	164	160	100	6.8
89.5	158	160	100	7
82	160	150	100	8.4
86	164	130	80	7.3
93	168	140	90	10.5
123	176	130	90	6.8
88	164	160	100	7
93	158	170	100	6.9
106	160	150	100	9
83	162	160	100	12.2
115	178	140	90	10.2
125	165	150	100	7.2
98	172	160	90	8.6
105	169	135	70	105
94	160	140	90	9.6
